symbol,strategy,direction,regime,opened_at,closed_at,signal_score,entry_stages_filled,planned_capital_krw,used_capital_krw,total_notional_krw,average_entry,net_pnl_krw,gross_pnl_krw,fees_krw,slippage_krw,return_on_used_capital_pct,exit_reason,bars_held,funding_pnl_krw,net_pnl_before_funding_krw,fold
SOLUSDT,PRICE_ONLY_REFERENCE,LONG,BULL,2026-07-01 00:00:00+00:00,2026-07-01 01:00:00+00:00,85,1,30000,12000.0,60000.0,73.73343450000002,-741.4527080919278,-598.1705127071764,143.2821953847514,179.10180132634395,-6.178772567432731,STOP,5,0.0,-741.4527080919278,FOLD_C_RECENT
SOLUSDT,PRICE_ONLY_REFERENCE,LONG,BULL,2026-07-02 04:30:00+00:00,2026-07-02 10:45:00+00:00,90,1,30000,12000.0,60000.0,78.36837650000001,1758.7326812516185,1903.0431641901596,146.2836517970282,182.8592580267342,14.65610567709682,TP3_4.0R,26,1.9731688584871985,1756.7595123931312,FOLD_C_RECENT
SOLUSDT,PRICE_ONLY_REFERENCE,LONG,BULL,2026-07-03 02:30:00+00:00,2026-07-03 03:00:00+00:00,90,1,30000,12000.0,60000.0,81.2226515,-816.6745428628316,-673.4827221293868,143.19182073344473,178.98866330516557,-6.805621190523596,STOP,3,0.0,-816.6745428628316,FOLD_C_RECENT
SOLUSDT,PRICE_ONLY_REFERENCE,LONG,BULL,2026-07-03 09:00:00+00:00,2026-07-03 11:15:00+00:00,90,1,30000,12000.0,60000.0,81.00232150000001,61.40584149686942,205.65262464644513,144.24678314957572,180.30934735140934,0.5117153458072452,STOP,10,0.0,61.40584149686942,FOLD_C_RECENT
SOLUSDT,PRICE_ONLY_REFERENCE,LONG,BULL,2026-07-03 13:45:00+00:00,2026-07-03 14:00:00+00:00,90,1,30000,12000.0,60000.0,81.718394,-757.775937170632,-614.5133531944654,143.26258397616664,179.07725023897586,-6.314799476421934,STOP,2,0.0,-757.775937170632,FOLD_C_RECENT
SOLUSDT,PRICE_ONLY_REFERENCE,LONG,BULL,2026-07-03 21:30:00+00:00,2026-07-04 06:15:00+00:00,90,1,30000,12000.0,60000.0,82.469519,209.74223509591852,355.3697917080427,144.42644375004966,180.53426047168074,1.7478519591326545,STOP,36,-1.2011128620745322,210.94334795799304,FOLD_C_RECENT
SOLUSDT,PRICE_ONLY_REFERENCE,LONG,BULL,2026-07-04 18:30:00+00:00,2026-07-04 19:00:00+00:00,90,1,30000,12000.0,60000.0,82.3843915,-669.9707648961303,-526.6026881218766,143.36807677425375,179.2093143327297,-5.583089707467752,STOP,3,0.0,-669.9707648961303,FOLD_C_RECENT
SOLUSDT,PRICE_ONLY_REFERENCE,LONG,BULL,2026-07-07 00:30:00+00:00,2026-07-07 02:00:00+00:00,85,1,30000,12000.0,60000.0,82.41643950000001,-715.6522368618353,-572.3390437142924,143.31319314754285,179.14060673794586,-5.963768640515294,STOP,7,0.0,-715.6522368618353,FOLD_C_RECENT
SOLUSDT,PRICE_ONLY_REFERENCE,SHORT,BEAR,2026-07-13 05:15:00+00:00,2026-07-13 08:45:00+00:00,90,1,30000,12000.0,60000.0,76.1605875,-645.3879829069459,-502.2309102094874,144.60267709225138,180.75262303917262,-5.378233190891216,STOP,15,1.445604394792779,-646.8335873017387,FOLD_C_RECENT
SOLUSDT,PRICE_ONLY_REFERENCE,SHORT,BEAR,2026-07-16 16:45:00+00:00,2026-07-17 13:45:00+00:00,95,2,30000,21000.0,105000.0,75.65553396386488,1865.6740621924855,2099.659374106888,249.48040875107174,311.8559368482922,8.884162200916599,STOP,85,15.495096836669173,1850.1789653558164,FOLD_C_RECENT
