symbol,strategy,direction,regime,opened_at,closed_at,signal_score,entry_stages_filled,planned_capital_krw,used_capital_krw,total_notional_krw,average_entry,net_pnl_krw,gross_pnl_krw,fees_krw,slippage_krw,return_on_used_capital_pct,exit_reason,bars_held,funding_pnl_krw,net_pnl_before_funding_krw,fold
BTCUSDT,PRICE_ONLY_REFERENCE,LONG,BULL,2026-04-10 21:00:00+00:00,2026-04-10 22:30:00+00:00,95,1,30000,12000.0,60000.0,73410.85135,-706.3496538589468,-563.0252841999868,143.32436965896,179.15459836465757,-5.886247115491224,STOP,7,0.0,-706.3496538589468,FOLD_C_LATEST_IN_WINDOW
BTCUSDT,PRICE_ONLY_REFERENCE,LONG,BULL,2026-04-15 22:45:00+00:00,2026-04-16 00:15:00+00:00,95,1,30000,12000.0,60000.0,75128.62415,-731.1957914587254,-587.9012729863089,143.29451847241643,179.1172283264146,-6.093298262156044,STOP,7,0.0,-731.1957914587254,FOLD_C_LATEST_IN_WINDOW
BTCUSDT,PRICE_ONLY_REFERENCE,LONG,BULL,2026-04-18 02:45:00+00:00,2026-04-18 03:45:00+00:00,85,1,30000,12000.0,60000.0,77387.60755,-572.5537732590017,-429.0686556457766,143.48511761322507,179.3558351626885,-4.771281443825013,STOP,5,0.0,-572.5537732590017,FOLD_C_LATEST_IN_WINDOW
BTCUSDT,PRICE_ONLY_REFERENCE,LONG,BULL,2026-04-21 11:15:00+00:00,2026-04-21 12:30:00+00:00,90,1,30000,12000.0,60000.0,76476.34270000001,-612.4517323756527,-469.0145498354552,143.43718254019745,179.29582630811436,-5.103764436463773,STOP,6,0.0,-612.4517323756527,FOLD_C_LATEST_IN_WINDOW
BTCUSDT,HARD_VETO_SPLIT,LONG,BULL,2026-04-16 03:15:00+00:00,2026-04-16 10:00:00+00:00,100,1,30000,12000.0,60000.0,75011.24835,-707.2999309264715,-563.9767029700355,143.32322795643594,179.15316909258718,-5.894166091053929,STOP,28,0.0,-707.2999309264715,FOLD_C_LATEST_IN_WINDOW
BTCUSDT,HARD_VETO_LONG_ONLY,LONG,BULL,2026-04-16 03:15:00+00:00,2026-04-16 10:00:00+00:00,100,1,30000,12000.0,60000.0,75011.24835,-707.2999309264715,-563.9767029700355,143.32322795643594,179.15316909258718,-5.894166091053929,STOP,28,0.0,-707.2999309264715,FOLD_C_LATEST_IN_WINDOW
ETHUSDT,PRICE_ONLY_REFERENCE,SHORT,BEAR,2026-02-03 06:45:00+00:00,2026-02-03 18:15:00+00:00,85,2,27100,18970.0,94850.0,2298.6964701072993,4110.054936078675,4332.495940949535,222.44100487086055,278.0616298431109,21.66607768096297,TP3_4.0R,46,0.0,4110.054936078675,FOLD_A_OLDEST
ETHUSDT,PRICE_ONLY_REFERENCE,SHORT,BEAR,2026-02-04 12:00:00+00:00,2026-02-04 16:30:00+00:00,85,1,28600,11440.0,57200.0,2250.369375,2278.1075490899066,2412.492558020282,134.38500893037565,167.98706724212303,19.913527527009673,TP3_4.0R,19,0.0,2278.1075490899066,FOLD_A_OLDEST
ETHUSDT,PRICE_ONLY_REFERENCE,SHORT,BEAR,2026-02-04 23:15:00+00:00,2026-02-05 16:45:00+00:00,90,1,16100,6440.0,32200.0,2129.151475,1864.151839447507,1939.1049135512453,74.95307410373849,93.69591643153942,28.94645713427806,STOP,71,0.0,1864.151839447507,FOLD_A_OLDEST
ETHUSDT,PRICE_ONLY_REFERENCE,SHORT,BEAR,2026-02-05 19:15:00+00:00,2026-02-06 01:30:00+00:00,90,1,12800,5120.0,25600.0,1933.625205,448.19634502896974,509.0255144116758,60.829169382705985,76.03777812079053,8.753834863847064,STOP,26,0.0,448.19634502896974,FOLD_A_OLDEST
