timeframe,plan,symbol,signal_time,opened_at,closed_at,holding_hours,signal_score,entry_stages,initial_entry_fill,average_entry_final,initial_stop_price,initial_r_price,exit_reason,gross_pnl_krw,entry_fees_krw,exit_fees_krw,total_fees_krw,estimated_slippage_krw,net_pnl_krw,net_r,scope
15m,EXPECTANCY_2R_3R_5R,ETHUSDT,2025-07-31T06:45:00+00:00,2025-07-31T07:00:00+00:00,2025-07-31T11:00:00+00:00,4.0,100.0,1,3878.0884200000005,3878.0884200000005,3850.3537739723847,33.51017668857412,STOP,-352.5129561136797,48.95502971682837,48.53201416949196,97.48704388632032,121.85828588489301,-450.0,-0.3,FULL
15m,EXPECTANCY_2R_3R_5R,ETHUSDT,2025-08-08T02:45:00+00:00,2025-08-08T03:00:00+00:00,2025-08-08T14:15:00+00:00,11.25,100.0,3,3897.707805,3914.043900298008,3873.7631329706537,29.755316728801972,STOP,936.0586954887303,127.10271447350283,128.48740047837387,255.5901149518767,319.4909588307626,680.4685805368537,0.45364572035790246,FULL
15m,EXPECTANCY_2R_3R_5R,DOGEUSDT,2025-08-09T01:30:00+00:00,2025-08-09T01:45:00+00:00,2025-08-09T13:30:00+00:00,11.75,100.0,3,0.231837235,0.233260496149876,0.22936005754673644,0.0028212175395836425,STOP,1511.5088300528619,87.487075751949,89.5661657058549,177.0532414578039,221.32094808805326,1334.455588595058,0.8896370590633721,FULL
15m,EXPECTANCY_2R_3R_5R,ETHUSDT,2025-08-12T06:15:00+00:00,2025-08-12T06:30:00+00:00,2025-08-12T11:00:00+00:00,4.5,100.0,2,4303.996325,4316.16806531418,4261.937537757983,48.451693548654475,STOP,-769.4469551234824,65.73819061133442,64.81485426518624,130.55304487652066,163.18994201737354,-900.0000000000031,-0.6000000000000021,FULL
15m,EXPECTANCY_2R_3R_5R,BTCUSDT,2025-08-12T20:15:00+00:00,2025-08-12T20:30:00+00:00,2025-08-13T02:15:00+00:00,5.75,100.0,1,119945.24840000001,119945.24840000001,119070.06263896618,1053.7908549922722,STOP,-353.7807283467619,48.32190426362711,47.897367389611,96.21927165323811,120.27356417542643,-450.0,-0.3,FULL
15m,EXPECTANCY_2R_3R_5R,DOGEUSDT,2025-08-13T12:00:00+00:00,2025-08-13T12:15:00+00:00,2025-08-13T13:30:00+00:00,1.25,100.0,1,0.24804150500000002,0.24804150500000002,0.24540739295724906,0.0030022231321868154,STOP,-375.9127584235973,37.26916844325553,36.81807313314721,74.08724157640273,92.60841453572971,-450.00000000000006,-0.30000000000000004,FULL
15m,EXPECTANCY_2R_3R_5R,SOLUSDT,2025-08-13T22:30:00+00:00,2025-08-13T22:45:00+00:00,2025-08-14T06:15:00+00:00,7.5,100.0,3,202.4862745,204.03633100618075,199.6064403895654,3.179243771018946,STOP,326.16888088618157,70.44761063256158,70.9995696621113,141.44718029467288,176.81040811493773,184.7217005915087,0.12314780039433913,FULL
15m,EXPECTANCY_2R_3R_5R,ETHUSDT,2025-08-15T06:00:00+00:00,2025-08-15T06:15:00+00:00,2025-08-15T12:30:00+00:00,6.25,100.0,2,4636.12377,4647.716386251147,4598.414732211112,44.60665988720484,STOP,-751.7028901588452,74.59957665467708,73.69753318648648,148.29710984116355,185.3701130527101,-900.0000000000088,-0.6000000000000059,FULL
15m,EXPECTANCY_2R_3R_5R,SOLUSDT,2025-08-28T10:30:00+00:00,2025-08-28T10:45:00+00:00,2025-08-28T15:30:00+00:00,4.75,100.0,3,213.6930595,215.14414465865374,211.08496827817223,2.924718674245014,STOP,-1343.1229082453106,79.24441962229074,77.63267213239635,156.8770917546871,196.09378387782465,-1499.9999999999977,-0.9999999999999984,FULL
15m,EXPECTANCY_2R_3R_5R,DOGEUSDT,2025-09-08T06:15:00+00:00,2025-09-08T06:30:00+00:00,2025-09-09T00:15:00+00:00,17.75,100.0,3,0.23275861500000003,0.23425332981182695,0.23011809483161616,0.00298569731063128,STOP,1447.1710352912564,83.70768331163657,85.70992765147284,169.4176109631094,211.77624440857238,1277.753424328147,0.8518356162187647,FULL
15m,EXPECTANCY_2R_3R_5R,SOLUSDT,2025-09-10T06:15:00+00:00,2025-09-10T06:30:00+00:00,2025-09-10T19:15:00+00:00,12.75,100.0,3,219.44868000000002,220.60208093082406,217.55590304143558,2.2191108131265764,STOP,251.11377649442366,101.87094462994472,102.33206846999593,204.20301309994065,255.25520530634205,46.91076339448301,0.031273842262988676,FULL
15m,EXPECTANCY_2R_3R_5R,DOGEUSDT,2025-09-11T21:30:00+00:00,2025-09-11T21:45:00+00:00,2025-09-12T01:30:00+00:00,3.75,100.0,3,0.25275857,0.2544219466546764,0.24979730888148094,0.0033359570818412843,STOP,1340.6645532149505,81.72088118964368,83.59550624923303,165.3163874388767,206.64946418188094,1175.3481657760738,0.7835654438507158,FULL
15m,EXPECTANCY_2R_3R_5R,SOLUSDT,2025-09-12T13:45:00+00:00,2025-09-12T14:00:00+00:00,2025-09-13T17:00:00+00:00,27.0,100.0,3,239.8221945,241.30437557655017,237.23660354238507,2.9414458629285036,STOP,-1327.765484282931,86.91391714910212,85.32059856796258,172.2345157170647,215.2906415779357,-1499.999999999996,-0.9999999999999972,FULL
15m,EXPECTANCY_2R_3R_5R,BTCUSDT,2025-09-18T01:00:00+00:00,2025-09-18T01:15:00+00:00,2025-09-19T14:45:00+00:00,37.5,100.0,3,116732.53655,117236.89693659397,115980.20745553533,926.2994056479656,STOP,-1254.7361236168897,123.3847798657244,121.8790965173841,245.26387638310848,306.5777121224568,-1499.9999999999982,-0.9999999999999988,FULL
15m,EXPECTANCY_2R_3R_5R,SOLUSDT,2025-10-02T01:15:00+00:00,2025-10-02T01:30:00+00:00,2025-10-02T14:45:00+00:00,13.25,100.0,3,221.40360800000002,222.76118177920296,219.04172727638118,2.690443314533411,STOP,285.21340593227796,87.59039852318715,88.0927952964819,175.68319381966904,219.60542838075418,109.53021211260892,0.07302014140840594,FULL
15m,EXPECTANCY_2R_3R_5R,BTCUSDT,2025-10-05T00:15:00+00:00,2025-10-05T00:30:00+00:00,2025-10-05T07:30:00+00:00,7.0,100.0,3,122538.9331,122975.91600322585,122059.54867582013,662.473747193595,STOP,1045.406411897368,148.387602744792,149.86838863744936,298.25599138224135,372.82360455445814,747.1504205151266,0.49810028034341775,FULL
15m,EXPECTANCY_2R_3R_5R,ETHUSDT,2025-10-06T13:15:00+00:00,2025-10-06T13:30:00+00:00,2025-10-06T21:15:00+00:00,7.75,100.0,3,4594.992165,4618.763808850817,4556.24389504726,45.582635795311035,STOP,1021.3667225401239,103.46166791938994,104.95104981456086,208.41271773395079,260.51927592685524,812.9540048061731,0.5419693365374487,FULL
15m,EXPECTANCY_2R_3R_5R,BTCUSDT,2025-10-25T12:00:00+00:00,2025-10-25T12:15:00+00:00,2025-10-25T15:45:00+00:00,3.5,100.0,1,111785.62730000001,111785.62730000001,111292.11750386504,660.4479723907571,STOP,-265.8674417760687,54.0,53.68095906986871,107.68095906986872,134.60090348762566,-373.5484008459374,-0.24903226723062494,FULL
15m,EXPECTANCY_2R_3R_5R,SOLUSDT,2025-10-26T18:00:00+00:00,2025-10-26T18:15:00+00:00,2025-10-26T20:15:00+00:00,2.0,100.0,1,199.5178285,199.5178285,197.90516126101895,1.9095249808725896,STOP,-360.12520942492483,45.15347041319252,44.72132016188261,89.87479057507514,112.34293070871938,-450.0,-0.3,FULL
15m,EXPECTANCY_2R_3R_5R,SOLUSDT,2025-10-27T05:00:00+00:00,2025-10-27T05:15:00+00:00,2025-10-27T07:30:00+00:00,2.25,100.0,1,204.834792,204.834792,202.9089833019006,2.230172173052239,STOP,-369.0845038819017,40.67919876137832,40.23629735672004,80.91549611809836,101.14376728096582,-450.00000000000006,-0.30000000000000004,FULL
